User_ID,Age,Gender,Location,Education,Occupation,Primary_App,Usage_Frequency,Daily_Usage_Time,Reason_for_Using,Satisfaction,Desired_Features,Preferred_Communication,Partner_Priorities
26,24,Male,Kolkata,Graduate,Full-time Job,Bumble,Weekly,3 hours,Social Interaction,2,Detailed Profiles,Voice Notes,Values > Personality > Appearance
27,21,Female,Delhi,Undergraduate,Student,Bumble,Weekly,3 hours,Casual Dating,5,Location-Based Matching,Video Calls,Appearance > Interests > Personality
28,23,Male,Kolkata,Undergraduate,Part-time Job,Bumble,Weekly,2 hours,Casual Fun,1,Location-Based Matching,Voice Notes,Appearance > Interests > Personality
29,19,Female,Chennai,Undergraduate,Student,OkCupid,Weekly,3 hours,Casual Dating,4,Detailed Profiles,Video Calls,Appearance > Interests > Personality
30,18,Male,Mumbai,Undergraduate,Freelancer,Tinder,Daily,3 hours,Finding a Partner,4,Location-Based Matching,Voice Notes,Personality > Interests > Values
31,24,Non-binary,Bangalore,Graduate,Full-time Job,Hinge,Weekly,30 minutes,Casual Dating,5,Audio Calls,Voice Notes,Personality > Interests > Values
32,20,Male,Bangalore,Graduate,Full-time Job,Hinge,Monthly,1 hour,Finding a Partner,3,Detailed Profiles,Voice Notes,Values > Personality > Appearance
33,24,Female,Delhi,Graduate,Part-time Job,NA,Weekly,30 minutes,Casual Dating,3,Detailed Profiles,Text,Personality > Interests > Values
34,25,Male,Kolkata,Graduate,Full-time Job,NA,Weekly,3 hours,Finding a Partner,5,Location-Based Matching,Voice Notes,Appearance > Interests > Personality
35,21,Female,Delhi,Graduate,Full-time Job,Bumble,Daily,2 hours,Casual Dating,3,Audio Calls,Voice Notes,Values > Personality > Appearance
36,22,Non-binary,Mumbai,Postgraduate,Part-time Job,NA,Monthly,30 minutes,Finding a Partner,3,AI Recommendations,Text,Appearance > Interests > Personality
37,22,Female,Kolkata,Undergraduate,Intern,Bumble,Monthly,1 hour,Finding a Partner,3,Video Calls,Voice Notes,Personality > Interests > Values
38,20,Female,Mumbai,Undergraduate,Full-time Job,Hinge,Daily,1.5 hours,Finding a Partner,1,Audio Calls,Voice Notes,Appearance > Interests > Personality
39,21,Male,Delhi,Postgraduate,Full-time Job,Bumble,Daily,1 hour,Casual Fun,1,Location-Based Matching,Voice Notes,Personality > Interests > Values
40,18,Male,Kolkata,Graduate,Intern,Tinder,Weekly,1 hour,Social Interaction,5,Audio Calls,Video Calls,Appearance > Interests > Personality
41,24,Male,Bangalore,Undergraduate,Student,Bumble,Daily,1.5 hours,Finding a Partner,3,Video Calls,Video Calls,Values > Personality > Appearance
42,19,Female,Pune,Postgraduate,Part-time Job,NA,Weekly,2 hours,Casual Dating,2,Detailed Profiles,Voice Notes,Values > Personality > Appearance
43,19,Female,Bangalore,Graduate,Part-time Job,OkCupid,Weekly,2 hours,Social Interaction,4,Location-Based Matching,Voice Notes,Values > Personality > Appearance
44,23,Female,Delhi,Postgraduate,Freelancer,Tinder,Weekly,2 hours,Casual Fun,5,Location-Based Matching,Video Calls,Personality > Interests > Values
45,21,Male,Delhi,Undergraduate,Student,Tinder,Daily,1.5 hours,Casual Dating,2,AI Recommendations,Text,Values > Personality > Appearance
46,19,Female,Hyderabad,Graduate,Intern,NA,Weekly,2 hours,Casual Dating,5,Audio Calls,Video Calls,Values > Personality > Appearance
47,21,Male,Kolkata,Graduate,Intern,OkCupid,Daily,1.5 hours,Finding a Partner,1,Video Calls,Video Calls,Values > Personality > Appearance
48,24,Non-binary,Bangalore,Undergraduate,Full-time Job,Bumble,Weekly,2 hours,Finding a Partner,2,Location-Based Matching,Voice Notes,Values > Personality > Appearance
49,21,Male,Bangalore,Postgraduate,Student,OkCupid,Weekly,30 minutes,Casual Fun,3,Location-Based Matching,Voice Notes,Appearance > Interests > Personality
50,19,Male,Kolkata,Postgraduate,Full-time Job,Bumble,Weekly,30 minutes,Casual Dating,2,AI Recommendations,Voice Notes,Appearance > Interests > Personality
51,19,Female,Pune,Postgraduate,Freelancer,Bumble,Monthly,1 hour,Social Interaction,5,Video Calls,Voice Notes,Personality > Interests > Values
52,25,Non-binary,Delhi,Graduate,Part-time Job,Tinder,Daily,3 hours,Finding a Partner,2,Detailed Profiles,Video Calls,Appearance > Interests > Personality
53,25,Male,Mumbai,Graduate,Full-time Job,Bumble,Daily,1.5 hours,Casual Fun,2,Location-Based Matching,Video Calls,Appearance > Interests > Personality
54,18,Male,Delhi,Postgraduate,Student,Hinge,Weekly,3 hours,Social Interaction,5,AI Recommendations,Video Calls,Appearance > Interests > Personality
55,22,Non-binary,Mumbai,Undergraduate,Freelancer,Hinge,Monthly,3 hours,Finding a Partner,3,Location-Based Matching,Voice Notes,Values > Personality > Appearance
56,20,Non-binary,Mumbai,Undergraduate,Intern,NA,Weekly,1.5 hours,Finding a Partner,5,Video Calls,Video Calls,Appearance > Interests > Personality
57,23,Non-binary,Delhi,Postgraduate,Freelancer,Tinder,Daily,1.5 hours,Social Interaction,3,Location-Based Matching,Video Calls,Values > Personality > Appearance
58,19,Female,Mumbai,Postgraduate,Student,OkCupid,Daily,2 hours,Casual Fun,3,Location-Based Matching,Video Calls,Personality > Interests > Values
59,19,Female,Pune,Postgraduate,Student,OkCupid,Daily,3 hours,Casual Fun,5,AI Recommendations,Voice Notes,Appearance > Interests > Personality
60,22,Male,Chennai,Undergraduate,Full-time Job,OkCupid,Monthly,3 hours,Social Interaction,1,Video Calls,Video Calls,Values > Personality > Appearance
61,22,Non-binary,Bangalore,Undergraduate,Intern,OkCupid,Weekly,30 minutes,Casual Dating,4,Detailed Profiles,Video Calls,Values > Personality > Appearance
62,24,Female,Bangalore,Postgraduate,Freelancer,Tinder,Weekly,2 hours,Social Interaction,3,AI Recommendations,Text,Personality > Interests > Values
63,21,Female,Chennai,Graduate,Part-time Job,OkCupid,Daily,1.5 hours,Social Interaction,4,AI Recommendations,Text,Personality > Interests > Values
64,20,Female,Delhi,Postgraduate,Intern,NA,Monthly,1 hour,Finding a Partner,5,AI Recommendations,Voice Notes,Appearance > Interests > Personality
65,23,Male,Kolkata,Graduate,Intern,Hinge,Weekly,2 hours,Casual Dating,4,Audio Calls,Video Calls,Personality > Interests > Values
66,22,Male,Chennai,Undergraduate,Part-time Job,Bumble,Monthly,1.5 hours,Social Interaction,5,Audio Calls,Video Calls,Values > Personality > Appearance
67,18,Female,Pune,Postgraduate,Intern,NA,Daily,2 hours,Casual Fun,2,AI Recommendations,Text,Appearance > Interests > Personality
68,22,Male,Bangalore,Graduate,Full-time Job,OkCupid,Daily,1 hour,Finding a Partner,1,AI Recommendations,Voice Notes,Appearance > Interests > Personality
69,24,Female,Delhi,Graduate,Intern,Hinge,Monthly,3 hours,Finding a Partner,4,Audio Calls,Text,Personality > Interests > Values
70,18,Male,Hyderabad,Postgraduate,Intern,Bumble,Daily,3 hours,Casual Dating,2,Detailed Profiles,Text,Appearance > Interests > Personality
71,19,Male,Bangalore,Postgraduate,Part-time Job,NA,Monthly,2 hours,Casual Dating,4,Video Calls,Voice Notes,Values > Personality > Appearance
72,19,Male,Kolkata,Graduate,Intern,Bumble,Daily,2 hours,Casual Fun,1,Audio Calls,Text,Personality > Interests > Values
73,25,Non-binary,Delhi,Postgraduate,Part-time Job,Hinge,Daily,3 hours,Finding a Partner,2,Audio Calls,Video Calls,Values > Personality > Appearance
74,25,Female,Bangalore,Graduate,Student,NA,Weekly,3 hours,Finding a Partner,4,Video Calls,Video Calls,Appearance > Interests > Personality
75,19,Female,Chennai,Undergraduate,Intern,OkCupid,Daily,30 minutes,Finding a Partner,2,AI Recommendations,Text,Personality > Interests > Values
76,22,Male,Chennai,Undergraduate,Full-time Job,Tinder,Monthly,30 minutes,Finding a Partner,3,Location-Based Matching,Video Calls,Values > Personality > Appearance
77,23,Male,Mumbai,Postgraduate,Part-time Job,NA,Weekly,1.5 hours,Casual Fun,4,Location-Based Matching,Voice Notes,Appearance > Interests > Personality
78,25,Non-binary,Delhi,Postgraduate,Full-time Job,Hinge,Daily,1.5 hours,Casual Fun,1,Detailed Profiles,Text,Appearance > Interests > Personality
79,23,Female,Pune,Postgraduate,Student,OkCupid,Monthly,1 hour,Casual Dating,5,Audio Calls,Voice Notes,Appearance > Interests > Personality
80,24,Male,Bangalore,Postgraduate,Freelancer,Hinge,Monthly,30 minutes,Social Interaction,5,AI Recommendations,Text,Values > Personality > Appearance
81,18,Female,Delhi,Undergraduate,Freelancer,NA,Monthly,1 hour,Casual Fun,1,Detailed Profiles,Video Calls,Appearance > Interests > Personality
82,18,Male,Chennai,Graduate,Freelancer,OkCupid,Daily,1 hour,Social Interaction,2,Audio Calls,Voice Notes,Appearance > Interests > Personality
83,18,Male,Mumbai,Undergraduate,Intern,OkCupid,Daily,2 hours,Social Interaction,1,Detailed Profiles,Text,Appearance > Interests > Personality
84,22,Non-binary,Hyderabad,Postgraduate,Part-time Job,Hinge,Weekly,1.5 hours,Finding a Partner,1,Detailed Profiles,Video Calls,Appearance > Interests > Personality
85,18,Non-binary,Pune,Undergraduate,Intern,Bumble,Weekly,2 hours,Social Interaction,1,Detailed Profiles,Video Calls,Appearance > Interests > Personality
86,20,Female,Delhi,Postgraduate,Student,Hinge,Monthly,1 hour,Social Interaction,5,Detailed Profiles,Voice Notes,Values > Personality > Appearance
87,21,Non-binary,Pune,Graduate,Freelancer,Bumble,Monthly,3 hours,Casual Dating,5,Audio Calls,Voice Notes,Values > Personality > Appearance
88,23,Male,Delhi,Graduate,Intern,NA,Daily,1 hour,Social Interaction,2,Detailed Profiles,Voice Notes,Appearance > Interests > Personality
89,22,Non-binary,Hyderabad,Postgraduate,Full-time Job,Tinder,Daily,3 hours,Finding a Partner,2,Location-Based Matching,Video Calls,Appearance > Interests > Personality
90,24,Male,Hyderabad,Graduate,Full-time Job,OkCupid,Weekly,3 hours,Casual Fun,5,AI Recommendations,Video Calls,Personality > Interests > Values
91,18,Female,Mumbai,Postgraduate,Intern,Tinder,Daily,2 hours,Social Interaction,4,AI Recommendations,Voice Notes,Appearance > Interests > Personality
92,21,Male,Hyderabad,Undergraduate,Full-time Job,Hinge,Monthly,2 hours,Finding a Partner,1,AI Recommendations,Voice Notes,Values > Personality > Appearance
93,22,Non-binary,Pune,Graduate,Full-time Job,Tinder,Weekly,30 minutes,Casual Dating,2,Video Calls,Voice Notes,Values > Personality > Appearance
94,21,Non-binary,Chennai,Graduate,Part-time Job,OkCupid,Monthly,3 hours,Casual Dating,3,Detailed Profiles,Text,Values > Personality > Appearance
95,23,Female,Mumbai,Undergraduate,Full-time Job,OkCupid,Monthly,3 hours,Social Interaction,2,Detailed Profiles,Video Calls,Appearance > Interests > Personality
96,20,Female,Delhi,Postgraduate,Student,OkCupid,Daily,2 hours,Finding a Partner,4,Video Calls,Voice Notes,Personality > Interests > Values
97,23,Female,Delhi,Undergraduate,Part-time Job,Hinge,Daily,1.5 hours,Finding a Partner,5,Video Calls,Voice Notes,Values > Personality > Appearance
98,22,Male,Chennai,Graduate,Part-time Job,OkCupid,Daily,30 minutes,Finding a Partner,1,Location-Based Matching,Video Calls,Personality > Interests > Values
99,20,Male,Kolkata,Undergraduate,Freelancer,OkCupid,Daily,1.5 hours,Casual Dating,2,Detailed Profiles,Voice Notes,Personality > Interests > Values
100,20,Male,Hyderabad,Graduate,Part-time Job,OkCupid,Weekly,3 hours,Finding a Partner,3,Location-Based Matching,Video Calls,Personality > Interests > Values
101,19,Non-binary,Hyderabad,Undergraduate,Freelancer,Tinder,Daily,1.5 hours,Casual Fun,4,Audio Calls,Text,Values > Personality > Appearance
102,19,Male,Kolkata,Graduate,Student,OkCupid,Weekly,3 hours,Finding a Partner,5,Video Calls,Video Calls,Appearance > Interests > Personality
103,25,Male,Delhi,Postgraduate,Part-time Job,OkCupid,Monthly,30 minutes,Social Interaction,3,Location-Based Matching,Text,Appearance > Interests > Personality
104,20,Female,Chennai,Undergraduate,Freelancer,Hinge,Monthly,1 hour,Finding a Partner,4,Video Calls,Voice Notes,Values > Personality > Appearance
105,25,Male,Delhi,Undergraduate,Student,Hinge,Monthly,1.5 hours,Finding a Partner,4,Location-Based Matching,Text,Appearance > Interests > Personality
106,25,Female,Delhi,Graduate,Freelancer,Tinder,Weekly,2 hours,Casual Fun,3,Video Calls,Video Calls,Appearance > Interests > Personality
107,25,Male,Mumbai,Graduate,Intern,Tinder,Daily,30 minutes,Casual Fun,5,Location-Based Matching,Text,Appearance > Interests > Personality
108,21,Male,Kolkata,Undergraduate,Freelancer,OkCupid,Daily,1.5 hours,Casual Dating,2,Location-Based Matching,Video Calls,Personality > Interests > Values
109,18,Male,Bangalore,Undergraduate,Freelancer,OkCupid,Monthly,2 hours,Social Interaction,1,Audio Calls,Video Calls,Personality > Interests > Values
110,25,Male,Bangalore,Graduate,Freelancer,NA,Daily,2 hours,Casual Fun,2,Audio Calls,Video Calls,Personality > Interests > Values
111,24,Male,Bangalore,Undergraduate,Full-time Job,OkCupid,Weekly,2 hours,Finding a Partner,2,Location-Based Matching,Video Calls,Appearance > Interests > Personality
112,18,Female,Pune,Undergraduate,Freelancer,Hinge,Weekly,1.5 hours,Casual Dating,4,Detailed Profiles,Text,Values > Personality > Appearance
113,23,Non-binary,Chennai,Undergraduate,Intern,Hinge,Daily,1 hour,Casual Dating,3,Location-Based Matching,Video Calls,Personality > Interests > Values
114,19,Male,Chennai,Postgraduate,Intern,OkCupid,Weekly,1 hour,Casual Dating,1,Location-Based Matching,Video Calls,Appearance > Interests > Personality
115,23,Male,Hyderabad,Graduate,Freelancer,Tinder,Monthly,2 hours,Casual Dating,1,Location-Based Matching,Video Calls,Values > Personality > Appearance
116,24,Non-binary,Kolkata,Postgraduate,Full-time Job,Tinder,Weekly,1.5 hours,Casual Dating,1,Video Calls,Video Calls,Values > Personality > Appearance
117,24,Female,Delhi,Undergraduate,Intern,Bumble,Daily,2 hours,Finding a Partner,3,AI Recommendations,Text,Values > Personality > Appearance
118,25,Non-binary,Chennai,Undergraduate,Freelancer,Tinder,Monthly,30 minutes,Casual Fun,3,Detailed Profiles,Voice Notes,Personality > Interests > Values
119,19,Male,Delhi,Postgraduate,Intern,Tinder,Monthly,3 hours,Casual Fun,5,Detailed Profiles,Video Calls,Personality > Interests > Values
120,21,Non-binary,Chennai,Postgraduate,Freelancer,Hinge,Monthly,2 hours,Casual Fun,1,Location-Based Matching,Voice Notes,Personality > Interests > Values
121,25,Non-binary,Delhi,Graduate,Student,NA,Daily,1 hour,Social Interaction,4,AI Recommendations,Text,Values > Personality > Appearance
122,24,Non-binary,Bangalore,Postgraduate,Intern,NA,Monthly,30 minutes,Casual Dating,4,Detailed Profiles,Video Calls,Personality > Interests > Values
123,19,Non-binary,Bangalore,Graduate,Intern,Bumble,Monthly,1.5 hours,Casual Fun,3,Detailed Profiles,Video Calls,Values > Personality > Appearance
124,20,Non-binary,Bangalore,Undergraduate,Intern,Hinge,Monthly,2 hours,Casual Fun,4,Location-Based Matching,Text,Appearance > Interests > Personality
125,18,Non-binary,Delhi,Postgraduate,Freelancer,Tinder,Daily,1.5 hours,Finding a Partner,3,Video Calls,Video Calls,Values > Personality > Appearance
126,21,Male,Chennai,Graduate,Part-time Job,OkCupid,Monthly,30 minutes,Finding a Partner,5,Location-Based Matching,Text,Values > Personality > Appearance
127,22,Female,Mumbai,Postgraduate,Student,Hinge,Monthly,3 hours,Finding a Partner,3,Detailed Profiles,Text,Personality > Interests > Values
128,24,Male,Pune,Postgraduate,Student,Hinge,Weekly,1 hour,Finding a Partner,2,Detailed Profiles,Video Calls,Values > Personality > Appearance
129,25,Female,Mumbai,Postgraduate,Student,NA,Monthly,1 hour,Casual Dating,1,Audio Calls,Video Calls,Personality > Interests > Values
130,23,Male,Mumbai,Postgraduate,Freelancer,Hinge,Monthly,30 minutes,Casual Dating,4,Video Calls,Text,Appearance > Interests > Personality
131,20,Female,Chennai,Graduate,Part-time Job,Bumble,Daily,2 hours,Finding a Partner,4,Video Calls,Video Calls,Appearance > Interests > Personality
132,24,Non-binary,Bangalore,Graduate,Part-time Job,Bumble,Monthly,1.5 hours,Finding a Partner,1,Video Calls,Video Calls,Appearance > Interests > Personality
133,25,Non-binary,Pune,Postgraduate,Intern,Bumble,Monthly,30 minutes,Finding a Partner,2,Video Calls,Video Calls,Personality > Interests > Values
134,25,Female,Pune,Postgraduate,Part-time Job,NA,Daily,1.5 hours,Casual Fun,3,Location-Based Matching,Voice Notes,Personality > Interests > Values
135,20,Female,Kolkata,Graduate,Intern,Hinge,Daily,1 hour,Finding a Partner,4,Detailed Profiles,Text,Appearance > Interests > Personality
136,24,Male,Kolkata,Undergraduate,Student,Bumble,Daily,1 hour,Finding a Partner,2,Location-Based Matching,Text,Personality > Interests > Values
137,18,Female,Chennai,Undergraduate,Part-time Job,Bumble,Daily,3 hours,Casual Dating,5,Video Calls,Text,Appearance > Interests > Personality
138,18,Female,Bangalore,Undergraduate,Full-time Job,NA,Monthly,30 minutes,Casual Dating,4,Location-Based Matching,Text,Values > Personality > Appearance
139,23,Non-binary,Delhi,Undergraduate,Student,OkCupid,Weekly,3 hours,Casual Dating,5,Detailed Profiles,Video Calls,Personality > Interests > Values
140,18,Male,Chennai,Postgraduate,Student,Tinder,Monthly,1 hour,Finding a Partner,1,Location-Based Matching,Voice Notes,Values > Personality > Appearance
141,19,Non-binary,Bangalore,Undergraduate,Part-time Job,NA,Daily,1.5 hours,Casual Dating,1,Audio Calls,Text,Appearance > Interests > Personality
142,22,Male,Pune,Postgraduate,Intern,NA,Monthly,1 hour,Social Interaction,3,Audio Calls,Video Calls,Values > Personality > Appearance
143,19,Male,Mumbai,Graduate,Freelancer,OkCupid,Daily,30 minutes,Finding a Partner,3,Audio Calls,Text,Personality > Interests > Values
144,22,Female,Hyderabad,Undergraduate,Freelancer,OkCupid,Weekly,3 hours,Finding a Partner,3,Location-Based Matching,Video Calls,Values > Personality > Appearance
145,24,Male,Chennai,Undergraduate,Freelancer,Tinder,Monthly,3 hours,Social Interaction,3,Detailed Profiles,Video Calls,Personality > Interests > Values
146,18,Non-binary,Kolkata,Postgraduate,Full-time Job,Hinge,Weekly,2 hours,Casual Dating,5,AI Recommendations,Voice Notes,Values > Personality > Appearance
147,23,Non-binary,Hyderabad,Graduate,Full-time Job,Hinge,Weekly,30 minutes,Casual Fun,5,Location-Based Matching,Voice Notes,Values > Personality > Appearance
148,23,Female,Delhi,Undergraduate,Student,NA,Daily,3 hours,Social Interaction,5,Audio Calls,Text,Appearance > Interests > Personality
149,22,Female,Bangalore,Graduate,Full-time Job,Hinge,Monthly,1.5 hours,Casual Dating,5,Audio Calls,Text,Appearance > Interests > Personality
150,19,Female,Hyderabad,Undergraduate,Student,Tinder,Weekly,2 hours,Social Interaction,1,AI Recommendations,Voice Notes,Values > Personality > Appearance
151,19,Male,Mumbai,Undergraduate,Intern,OkCupid,Monthly,3 hours,Social Interaction,2,Audio Calls,Video Calls,Values > Personality > Appearance
152,18,Non-binary,Pune,Graduate,Freelancer,Bumble,Daily,30 minutes,Social Interaction,2,Detailed Profiles,Voice Notes,Appearance > Interests > Personality
153,24,Female,Hyderabad,Graduate,Part-time Job,Tinder,Monthly,3 hours,Casual Fun,3,Audio Calls,Voice Notes,Personality > Interests > Values
154,23,Male,Delhi,Undergraduate,Freelancer,Hinge,Monthly,2 hours,Casual Dating,5,Location-Based Matching,Voice Notes,Appearance > Interests > Personality
155,18,Female,Bangalore,Graduate,Freelancer,Bumble,Weekly,30 minutes,Casual Fun,4,Video Calls,Text,Personality > Interests > Values
156,18,Non-binary,Pune,Graduate,Freelancer,Tinder,Monthly,1 hour,Social Interaction,3,Location-Based Matching,Video Calls,Appearance > Interests > Personality
157,22,Female,Hyderabad,Graduate,Full-time Job,Hinge,Monthly,1.5 hours,Social Interaction,3,Location-Based Matching,Text,Values > Personality > Appearance
158,25,Non-binary,Hyderabad,Undergraduate,Part-time Job,OkCupid,Daily,3 hours,Social Interaction,3,AI Recommendations,Video Calls,Appearance > Interests > Personality
159,22,Non-binary,Chennai,Graduate,Student,OkCupid,Weekly,2 hours,Finding a Partner,5,AI Recommendations,Video Calls,Personality > Interests > Values
160,24,Male,Hyderabad,Postgraduate,Intern,Bumble,Weekly,1 hour,Social Interaction,2,Audio Calls,Video Calls,Personality > Interests > Values
161,23,Non-binary,Bangalore,Graduate,Part-time Job,Bumble,Daily,3 hours,Social Interaction,1,AI Recommendations,Voice Notes,Appearance > Interests > Personality
162,23,Female,Kolkata,Undergraduate,Full-time Job,Bumble,Monthly,1.5 hours,Social Interaction,2,Audio Calls,Voice Notes,Values > Personality > Appearance
163,23,Female,Kolkata,Graduate,Freelancer,Tinder,Weekly,3 hours,Casual Fun,5,Video Calls,Video Calls,Personality > Interests > Values
164,24,Non-binary,Pune,Graduate,Full-time Job,OkCupid,Daily,3 hours,Casual Dating,1,Video Calls,Voice Notes,Personality > Interests > Values
165,18,Female,Bangalore,Postgraduate,Part-time Job,NA,Weekly,1 hour,Casual Fun,1,Audio Calls,Text,Appearance > Interests > Personality
166,19,Male,Hyderabad,Postgraduate,Freelancer,Hinge,Weekly,1 hour,Social Interaction,5,Audio Calls,Video Calls,Values > Personality > Appearance
167,21,Female,Hyderabad,Undergraduate,Full-time Job,Bumble,Daily,3 hours,Finding a Partner,1,Detailed Profiles,Voice Notes,Appearance > Interests > Personality
168,21,Non-binary,Bangalore,Postgraduate,Part-time Job,OkCupid,Monthly,3 hours,Casual Fun,3,Location-Based Matching,Video Calls,Personality > Interests > Values
169,22,Non-binary,Bangalore,Undergraduate,Freelancer,Hinge,Daily,30 minutes,Social Interaction,4,Detailed Profiles,Video Calls,Appearance > Interests > Personality
170,24,Male,Delhi,Graduate,Full-time Job,OkCupid,Monthly,2 hours,Social Interaction,1,Detailed Profiles,Voice Notes,Personality > Interests > Values
171,21,Non-binary,Delhi,Graduate,Intern,Bumble,Monthly,2 hours,Casual Dating,1,AI Recommendations,Video Calls,Personality > Interests > Values
172,19,Female,Chennai,Undergraduate,Part-time Job,Hinge,Monthly,30 minutes,Finding a Partner,3,Audio Calls,Text,Values > Personality > Appearance
173,21,Non-binary,Delhi,Undergraduate,Part-time Job,Tinder,Daily,30 minutes,Casual Fun,1,Video Calls,Text,Appearance > Interests > Personality
174,23,Male,Mumbai,Postgraduate,Intern,OkCupid,Weekly,2 hours,Casual Fun,1,Video Calls,Video Calls,Values > Personality > Appearance
175,19,Non-binary,Kolkata,Postgraduate,Full-time Job,Bumble,Monthly,30 minutes,Casual Dating,2,Video Calls,Voice Notes,Personality > Interests > Values
176,24,Male,Bangalore,Graduate,Student,OkCupid,Daily,1.5 hours,Social Interaction,1,Detailed Profiles,Text,Personality > Interests > Values
177,24,Male,Mumbai,Graduate,Freelancer,NA,Daily,2 hours,Finding a Partner,1,Location-Based Matching,Voice Notes,Appearance > Interests > Personality
178,18,Male,Delhi,Graduate,Part-time Job,Hinge,Weekly,1 hour,Casual Fun,1,AI Recommendations,Video Calls,Values > Personality > Appearance
179,21,Female,Kolkata,Postgraduate,Part-time Job,OkCupid,Monthly,1.5 hours,Casual Fun,2,Location-Based Matching,Video Calls,Values > Personality > Appearance
180,20,Non-binary,Hyderabad,Undergraduate,Full-time Job,Tinder,Daily,1 hour,Finding a Partner,4,AI Recommendations,Video Calls,Personality > Interests > Values
181,21,Male,Bangalore,Postgraduate,Student,Bumble,Weekly,1 hour,Casual Fun,1,Detailed Profiles,Video Calls,Values > Personality > Appearance
182,22,Non-binary,Pune,Graduate,Student,NA,Weekly,30 minutes,Casual Dating,4,Detailed Profiles,Text,Values > Personality > Appearance
183,21,Male,Kolkata,Undergraduate,Part-time Job,Hinge,Daily,30 minutes,Casual Fun,4,AI Recommendations,Voice Notes,Personality > Interests > Values
